paper_id,author,year,genus,species,genus_species,annual_perennial,growth_form,habitat_type,sample_country,sample_continent,sites_sampled,strain_source,num_nodules,num_plants,genbank,genetic_region,strain_richness,compares_homeaway,proportion_novel_strains,proportion_familiar_strains,compares_natinv,proportion_overlapping_strains,num_spp_compared,notes
25,Armas-Capote et al,2013,Cicer,canariense,Cicer_canariense,perennial,herb,,Canary_Islands,AF,10,field nodules,38,999,1,16S,8,0,999,999,0,999,999,"also did soil trapping, see below"
25,Armas-Capote et al,2013,Cicer,canariense,Cicer_canariense,perennial,herb,,Canary_Islands,AF,10,soil trapping,75,999,1,16S,13,0,999,999,0,999,999,"also did field nodule collection, see above"
25,Armas-Capote et al,2013,Cicer,canariense,Cicer_canariense,perennial,herb,,Canary_Islands,AF,10,field nodules,38,999,1,nodC,12,0,999,999,0,999,999,"also did soil trapping, see below"
25,Armas-Capote et al,2013,Cicer,canariense,Cicer_canariense,perennial,herb,,Canary_Islands,AF,10,soil trapping,75,999,1,nodC,14,0,999,999,0,999,999,"also did field nodule collection, see above"
26,Aserse et al,2012,Crotalaria,spinosa,Crotalaria_spinosa,annual,woody,,Ethiopia,AF,1,field nodules,2,999,0,AFLP,2,0,999,999,0,999,999,
26,Aserse et al,2012,Crotalaria,spinosa,Crotalaria_spinosa,annual,woody,,Ethiopia,AF,1,field nodules,2,999,0,MLSA,2,0,999,999,0,999,999,
26,Aserse et al,2012,Crotalaria,spinosa,Crotalaria_spinosa,annual,woody,,Ethiopia,AF,1,field nodules,2,999,1,nodA,1,0,999,999,0,999,999,
26,Aserse et al,2012,Crotalaria,spinosa,Crotalaria_spinosa,annual,woody,,Ethiopia,AF,1,field nodules,2,999,1,nodY/K,1,0,999,999,0,999,999,
26,Aserse et al,2012,Crotalaria,spinosa,Crotalaria_spinosa,annual,woody,,Ethiopia,AF,1,field nodules,2,999,1,nifH,1,0,999,999,0,999,999,
26,Aserse et al,2012,Glycine,max,Glycine_max,annual,herb,,Ethiopia,AF,7,field nodules,13,999,0,AFLP,5,0,999,999,0,999,999,
26,Aserse et al,2012,Glycine,max,Glycine_max,annual,herb,,Ethiopia,AF,7,field nodules,13,999,0,MLSA,6,0,999,999,0,999,999,
26,Aserse et al,2012,Glycine,max,Glycine_max,annual,herb,,Ethiopia,AF,7,field nodules,13,999,1,nodA,4,0,999,999,0,999,999,
26,Aserse et al,2012,Glycine,max,Glycine_max,annual,herb,,Ethiopia,AF,7,field nodules,13,999,1,nodY/K,4,0,999,999,0,999,999,
26,Aserse et al,2012,Glycine,max,Glycine_max,annual,herb,,Ethiopia,AF,7,field nodules,13,999,1,nifH,4,0,999,999,0,999,999,
26,Aserse et al,2012,Crotalaria,incana,Crotalaria_incana,perennial,woody,,Ethiopia,AF,8,field nodules,12,999,0,AFLP,8,0,999,999,0,999,999,
26,Aserse et al,2012,Crotalaria,incana,Crotalaria_incana,perennial,woody,,Ethiopia,AF,8,field nodules,12,999,0,MLSA,5,0,999,999,0,999,999,
26,Aserse et al,2012,Crotalaria,incana,Crotalaria_incana,perennial,woody,,Ethiopia,AF,8,field nodules,12,999,1,nodA,9,0,999,999,0,999,999,
26,Aserse et al,2012,Crotalaria,incana,Crotalaria_incana,perennial,woody,,Ethiopia,AF,8,field nodules,12,999,1,nodY/K,8,0,999,999,0,999,999,
26,Aserse et al,2012,Crotalaria,incana,Crotalaria_incana,perennial,woody,,Ethiopia,AF,8,field nodules,12,999,1,nifH,7,0,999,999,0,999,999,
26,Aserse et al,2012,Erythrina,brucei,Erythrina_brucei,perennial,woody,,Ethiopia,AF,4,field nodules,8,999,0,AFLP,5,0,999,999,0,999,999,
26,Aserse et al,2012,Erythrina,brucei,Erythrina_brucei,perennial,woody,,Ethiopia,AF,4,field nodules,8,999,0,MLSA,4,0,999,999,0,999,999,
26,Aserse et al,2012,Erythrina,brucei,Erythrina_brucei,perennial,woody,,Ethiopia,AF,4,field nodules,8,999,1,nodA,4,0,999,999,0,999,999,
26,Aserse et al,2012,Erythrina,brucei,Erythrina_brucei,perennial,woody,,Ethiopia,AF,4,field nodules,8,999,1,nodY/K,3,0,999,999,0,999,999,
26,Aserse et al,2012,Erythrina,brucei,Erythrina_brucei,perennial,woody,,Ethiopia,AF,4,field nodules,8,999,1,nifH,5,0,999,999,0,999,999,
26,Aserse et al,2012,Indigofea,amorphoides,Indigofera_amorphoides,perennial,woody,,Ethiopia,AF,1,field nodules,1,999,0,AFLP,1,0,999,999,0,999,999,
26,Aserse et al,2012,Indigofea,amorphoides,Indigofera_amorphoides,perennial,woody,,Ethiopia,AF,1,field nodules,1,999,0,MLSA,1,0,999,999,0,999,999,
26,Aserse et al,2012,Indigofea,amorphoides,Indigofera_amorphoides,perennial,woody,,Ethiopia,AF,1,field nodules,1,999,1,nodA,1,0,999,999,0,999,999,
26,Aserse et al,2012,Indigofea,amorphoides,Indigofera_amorphoides,perennial,woody,,Ethiopia,AF,1,field nodules,1,999,1,nodY/K,1,0,999,999,0,999,999,
26,Aserse et al,2012,Indigofea,amorphoides,Indigofera_amorphoides,perennial,woody,,Ethiopia,AF,1,field nodules,1,999,1,nifH,1,0,999,999,0,999,999,
26,Aserse et al,2012,Indigofera,arrecta,Indigofera_arrecta,perennial,woody,,Ethiopia,AF,6,field nodules,17,999,0,AFLP,8,0,999,999,0,999,999,
26,Aserse et al,2012,Indigofera,arrecta,Indigofera_arrecta,perennial,woody,,Ethiopia,AF,6,field nodules,17,999,0,MLSA,5,0,999,999,0,999,999,
26,Aserse et al,2012,Indigofera,arrecta,Indigofera_arrecta,perennial,woody,,Ethiopia,AF,6,field nodules,17,999,1,nodA,5,0,999,999,0,999,999,
26,Aserse et al,2012,Indigofera,arrecta,Indigofera_arrecta,perennial,woody,,Ethiopia,AF,6,field nodules,17,999,1,nodY/K,5,0,999,999,0,999,999,
26,Aserse et al,2012,Indigofera,arrecta,Indigofera_arrecta,perennial,woody,,Ethiopia,AF,6,field nodules,17,999,1,nifH,5,0,999,999,0,999,999,
27,Aserse et al,2013,Crotalaria,spinosa,Crotalaria_spinosa,annual,woody,,Ethiopia,AF,7,field nodules,6,999,0,AFLP,5,0,999,999,0,999,999,
27,Aserse et al,2013,Glycine,max,Glycine_max,annual,herb,,Ethiopia,AF,2,soil trapping,3,999,0,AFLP,2,0,999,999,0,999,999,
27,Aserse et al,2013,Phaseolus,vulgaris,Phaseolus_vulgaris,annual,herb,,Ethiopia,AF,12,field nodules,15,999,0,AFLP,12,0,999,999,0,999,999,
27,Aserse et al,2013,Crotalaria,incana,Crotalaria_incana,perennial,woody,,Ethiopia,AF,7,field nodules,12,999,0,AFLP,8,0,999,999,0,999,999,
27,Aserse et al,2013,Erythrina,brucei,Erythrina_brucei,perennial,woody,,Ethiopia,AF,5,field nodules,9,999,0,AFLP,8,0,999,999,0,999,999,
27,Aserse et al,2013,Indigofea,amorphoides,Indigofera_amorphoides,perennial,woody,,Ethiopia,AF,1,field nodules,1,999,0,AFLP,1,0,999,999,0,999,999,
27,Aserse et al,2013,Indigofera,arrecta,Indigofera_arrecta,perennial,woody,,Ethiopia,AF,1,soil trapping,5,999,0,AFLP,3,0,999,999,0,999,999,
28,Ba et al,2002,Acacia,tortilis,Acacia_tortilis,perennial,woody,,"Senegal, Mauritania, Tunisia, Burundi",AF,12,field nodules,76,999,0,SDS_PAGE,22,0,999,999,0,999,999,
28,Ba et al,2002,Acacia,tortilis,Acacia_tortilis,perennial,woody,,"Senegal, Mauritania, Tunisia, Burundi",AF,12,field nodules,76,999,1,16S,8,0,999,999,0,999,999,
28,Ba et al,2002,Acacia,tortilis,Acacia_tortilis,perennial,woody,,"Senegal, Mauritania, Tunisia, Burundi",AF,12,field nodules,76,999,1,nodA,7,0,999,999,0,999,999,
29,Badri et al,2007,Medicago,laciniata,Medicago_laciniata,annual,herb,,Tunisia,AF,1,soil trapping,40,999,0,rep_PCR,39,0,999,999,0,999,999,
29,Badri et al,2007,Medicago,laciniata,Medicago_laciniata,annual,herb,,Tunisia,AF,1,soil trapping,40,999,0,RFLP_16S,1,0,999,999,0,999,999,
29,Badri et al,2007,Medicago,truncatula,Medicago_truncatula,perennial,herb,,Tunisia,AF,1,soil trapping,40,999,0,rep_PCR,38,0,999,999,0,999,999,
