paper_id,author,year,journal,clean_name,sample country,paper_plant_status,global_plant_status,Figure 2,Figure 3,Figure 4,Figure 5,title
217,Rodriquez-Echeverria,2010,Journal of Biogeography,Ulex europaeus,Portugal,Native,Non-Native,X,,,X,Rhizobial hitchhikers from down under: invasional meltdown in a plant-bacteria mutualism
235,Shiraishi et al,2010,Systematic and Applied Microbiology,Robinia pseudoacacia,Japan,Non-Native,Non-Native,X,,,,Nodulation in black locust by the Gammaproteobacteria Pseudomonas sp. And the Betaproteobacteria Burkolderia sp.
247,Teiceira et al,2010,Brazilian Journal of Microbiology,Calliandra depauperata,Brazil,Native,Native,X,,,,Characterization of indigenous rhizobia from caatinga
247,Teiceira et al,2010,Brazilian Journal of Microbiology,Cratylia mollis,Brazil,Native,Native,X,,,,Characterization of indigenous rhizobia from caatinga
247,Teiceira et al,2010,Brazilian Journal of Microbiology,Mimosa tenuiflora,Brazil,Native,Native,X,,,,Characterization of indigenous rhizobia from caatinga
292,Zhao et al,2010,Systematic and Applied Microbiology,Sophora alopecuroides,China,Native,Non-Native,X,,,,Diverse rhizobia associated with Sophora alopecuroides grown in different regions of Loess Plateau in China
287,Zhou et al,2010,International Journal of Systematic and Evolutionary Microbiology,Robinia pseudoacacia,China,Non-Native,Non-Native,X,,,,"Mesorhizobium robiniae sp. Nov., isolated from root nodules of Robinia pseudoacacia"
13,Ampomah and Huss-Danell (a),2011,Applied and Environmental Microbiology,Thermopsis lupinoides,Russia,Native,Non-Native,X,,,,"Nodulation of Thermopsis lupinoides by a Mesorhizobium huakuii Strain with a Unique nodA Gene in Kamtchatka, Russia"
12,Ampomah and Huss-Danell (b),2011,Systematic and Applied Microbiology,Anthyllis vulneraria,Sweden,Native,Non-Native,X,,,,Genetic diversity of root nodule bacteria nodulating Lotus corniculatus and Anthyllis vulneraria in Sweden
12,Ampomah and Huss-Danell (b),2011,Systematic and Applied Microbiology,Lotus corniculatus,Sweden,Native,Native,X,,X,,Genetic diversity of root nodule bacteria nodulating Lotus corniculatus and Anthyllis vulneraria in Sweden
48,Callaway et al,2011,Ecology,Robinia pseudoacacia,Czech Republic-France-Georgia-Hungary-Italy-Romania-Spain,Non-Native,Non-Native,,X,,,Effects of soil biota from different ranges on Robinia invasion: acquiring mutualists and escaping pathogens
48,Callaway et al,2011,Ecology,Robinia pseudoacacia,United States,Native,Non-Native,,X,,,Effects of soil biota from different ranges on Robinia invasion: acquiring mutualists and escaping pathogens
60,Chahboune et al,2011,International Journal of Systematic and Evolutionary Microbiology,Cytisus villosus,Morocco,Native,Non-Native,X,,,,"Bradyrhizobium cytisi sp. nov., isolated from effective nodules of Cytisus villosus"
79,De Meyer et al,2011,Soil Biology and Biochemistry,Cytisus scoparius,Belgium,Native,Non-Native,X,,X,X,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)
79,De Meyer et al,2011,Soil Biology and Biochemistry,Galega officinalis,Belgium,Non-Native,Non-Native,,,X,,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)
79,De Meyer et al,2011,Soil Biology and Biochemistry,Lathyrus pratensis,Belgium,Native,Non-Native,X,,X,X,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)
79,De Meyer et al,2011,Soil Biology and Biochemistry,Lotus corniculatus,Belgium,Native,Non-Native,X,,X,X,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)
79,De Meyer et al,2011,Soil Biology and Biochemistry,Lotus pedunculatus,Belgium,Native,Non-Native,X,,,X,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)
79,De Meyer et al,2011,Soil Biology and Biochemistry,Lupinus polyphyllus,Belgium,Non-Native,Non-Native,X,,,X,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)
79,De Meyer et al,2011,Soil Biology and Biochemistry,Medicago lupulina,Belgium,Native,Non-Native,X,,,X,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)
79,De Meyer et al,2011,Soil Biology and Biochemistry,Melilotus indicus,Belgium,Native,Non-Native,X,,,,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)
79,De Meyer et al,2011,Soil Biology and Biochemistry,Melilotus officinalis,Belgium,Native,Non-Native,X,,,X,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)
79,De Meyer et al,2011,Soil Biology and Biochemistry,Ononis spinosa,Belgium,Native,Non-Native,X,,,,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)
79,De Meyer et al,2011,Soil Biology and Biochemistry,Ornithopus perpusillus,Belgium,Native,Non-Native,X,,,X,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)
79,De Meyer et al,2011,Soil Biology and Biochemistry,Robinia pseudoacacia,Belgium,Non-Native,Non-Native,X,,,X,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)
79,De Meyer et al,2011,Soil Biology and Biochemistry,Securigera varia,Belgium,Non-Native,Non-Native,X,,,,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)
79,De Meyer et al,2011,Soil Biology and Biochemistry,Trifolium arvense,Belgium,Native,Non-Native,X,,,X,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)
79,De Meyer et al,2011,Soil Biology and Biochemistry,Trifolium campestre,Belgium,Native,Non-Native,X,,,X,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)
79,De Meyer et al,2011,Soil Biology and Biochemistry,Trifolium dubium,Belgium,Native,Non-Native,X,,,X,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)
79,De Meyer et al,2011,Soil Biology and Biochemistry,Trifolium hybridum,Belgium,Non-Native,Non-Native,X,,,X,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)
79,De Meyer et al,2011,Soil Biology and Biochemistry,Trifolium pratense,Belgium,Native,Non-Native,X,,,X,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)
79,De Meyer et al,2011,Soil Biology and Biochemistry,Trifolium repens,Belgium,Native,Non-Native,X,,,X,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)
79,De Meyer et al,2011,Soil Biology and Biochemistry,Vicia cracca,Belgium,Native,Non-Native,X,,,X,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)
79,De Meyer et al,2011,Soil Biology and Biochemistry,Vicia sativa,Belgium,Native,Non-Native,X,,,X,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)
79,De Meyer et al,2011,Soil Biology and Biochemistry,Vicia sepium,Belgium,Native,Non-Native,X,,,X,Genetic diversity of rhizobia associated with indigenous legumes in different regions of Flanders (Belgium)
