paper_id,author,year,journal,clean_name,sample_country,paper_plant_status,global_plant_status,Figure 2,Figure 3,Figure 4,Figure 5
227,Sanchez-Canizares et al,2011,Systematic and Applied Microbiology,Lupinus mariae-josephae,Spain,native,native,1,,,
236,Shiraishi et al,2011,Soil Science and Plant Nutrition,Robinia pseudoacacia,Japan,nonnative,nonnative,1,,,
239,Stepkowski et al,2011,Systematic and Applied Microbiology,Lupinus angustifolius,Poland,nonnative,nonnative,1,,,
239,Stepkowski et al,2011,Systematic and Applied Microbiology,Ornithopus compressus,Italy,native,nonnative,1,,,
239,Stepkowski et al,2011,Systematic and Applied Microbiology,Ornithopus sativus,Poland,nonnative,nonnative,1,,,
281,Xu et al,2011,Antonie van Leeuwenhoek,Sphaerophysa salsula,China,native,nonnative,1,,,
22,Andrus et al,2012,FEMS Microbiology Ecology,Mimosa diplotricha,Philippines,nonnative,nonnative,1,,,
22,Andrus et al,2012,FEMS Microbiology Ecology,Mimosa pudica,Philippines,nonnative,nonnative,1,,1,
26,Aserse et al,2012,Molecular Phylogenetics and Evolution,Crotalaria incana,Ethiopia,native,nonnative,1,,,
26,Aserse et al,2012,Molecular Phylogenetics and Evolution,Erythrina brucei,Ethiopia,native,native,1,,,
26,Aserse et al,2012,Molecular Phylogenetics and Evolution,Indigofera arrecta,Ethiopia,native,nonnative,1,,,
46,Boukhatem et al,2012,FEMS Microbiology Ecology,Acacia ehrenbergiana,Algeria,native,native,1,,,1
46,Boukhatem et al,2012,FEMS Microbiology Ecology,Acacia karroo,Algeria,nonnative,nonnative,1,,,1
46,Boukhatem et al,2012,FEMS Microbiology Ecology,Acacia saligna,Algeria,nonnative,nonnative,1,,1,1
46,Boukhatem et al,2012,FEMS Microbiology Ecology,Acacia seyal,Algeria,native,nonnative,1,,,1
72,da Silva et al,2012,Systematic and Applied Microbiology,Sesbania virgata,Brazil,native,nonnative,1,,,
74,Dai et al,2012,Genetics and Molecular Research,Caragana microphylla,China,native,nonnative,1,,,
80,De Meyer et al,2012,Systematic and Applied Microbiology,Robinia pseudoacacia,Belgium,nonnative,nonnative,1,,,
98,Fonseca et al,2012,PLoS ONE,Dimorphandra wilsonii,Brazil,native,native,1,,,
101,Fterich et al,2012,Canadian Journal of Microbiology,Acacia tortilis,Tunisia,native,nonnative,1,,,
105,Gerding et al,2012,Plant and Soil,Lessertia annularis,South_Africa,native,native,1,,,
105,Gerding et al,2012,Plant and Soil,Lessertia capitata,South_Africa,native,native,1,,,
105,Gerding et al,2012,Plant and Soil,Lessertia diffusa,South_Africa,native,native,1,,,
105,Gerding et al,2012,Plant and Soil,Lessertia excisa,South_Africa,native,native,1,,,
105,Gerding et al,2012,Plant and Soil,Lessertia frutescens,South_Africa,native,nonnative,1,,,
105,Gerding et al,2012,Plant and Soil,Lessertia herbacea,South_Africa,native,native,1,,,
105,Gerding et al,2012,Plant and Soil,Lessertia microphylla,South_Africa,native,native,1,,,
116,Hassen et al,2012,Biology and Fertility of Soils,Aspalathus linearis,South_Africa,native,native,1,,,
130,Kanu and Dakora,2012,Soil Biology and Biochemistry,Psoralea aphylla,South_Africa,native,nonnative,1,,,
130,Kanu and Dakora,2012,Soil Biology and Biochemistry,Psoralea monophylla,South_Africa,native,native,1,,,
130,Kanu and Dakora,2012,Soil Biology and Biochemistry,Psoralea pinnata,South_Africa,native,nonnative,1,,,
153,Li et al,2012,Systematic and Applied Microbiology,Caragana korshinskii,China,native,native,1,,,
162,Liu et al,2012,New Zealand Plant Protection,Galega officinalis,New_Zealand,nonnative,nonnative,1,,1,
162,Liu et al,2012,New Zealand Plant Protection,Hedysarum coronarium,New_Zealand,nonnative,nonnative,1,,,
165,Lorite et al,2012,Federation of European Microbiological Societies,Lotus pedunculatus,Portugal,native,nonnative,1,,,
179,Mishra et al,2012,FEMS Microbiology Ecology,Mimosa pudica,French_Guiana,native,nonnative,1,,1,
202,Qin et al,2012,Archives of Microbiology,Sphaerophysa salsula,China,native,nonnative,1,,,
208,Qin et al,2012,Archives of Microbiology,Sphaerophysa salsula,China,native,nonnative,1,,,
209,Rejili et al,2012,"Agriculture, ecosystems and environment",Hedysarum spinosissimum,Tunisia,native,nonnative,1,,,
209,Rejili et al,2012,"Agriculture, ecosystems and environment",Lotus creticus,Tunisia,native,nonnative,1,,,
209,Rejili et al,2012,"Agriculture, ecosystems and environment",Lotus halophilus,Tunisia,native,native,1,,,
209,Rejili et al,2012,"Agriculture, ecosystems and environment",Vicia sativa,Tunisia,native,nonnative,1,,,
233,Sheu et al,2012,International Journal of Systematic and Evolutionary Microbiology,Mimosa cordistipula,Brazil,native,native,1,,,
240,Stepkowski et al,2012,Molecular Phylogenetics and Evolution,Acacia acuminata,Australia,native,native,1,,,
240,Stepkowski et al,2012,Molecular Phylogenetics and Evolution,Bossiaea eriocarpa,Australia,native,native,1,,,
240,Stepkowski et al,2012,Molecular Phylogenetics and Evolution,Crotalaria medicaginea,Australia,native,native,1,,,
240,Stepkowski et al,2012,Molecular Phylogenetics and Evolution,Dunbaria debilis,Australia,native,native,1,,,
240,Stepkowski et al,2012,Molecular Phylogenetics and Evolution,Galactia tenuiflora,Australia,NA,NA,1,,,
240,Stepkowski et al,2012,Molecular Phylogenetics and Evolution,Gastrolobium capitatum,Australia,native,native,1,,,
240,Stepkowski et al,2012,Molecular Phylogenetics and Evolution,Gompholobium polymorphum,Australia,native,native,1,,,
240,Stepkowski et al,2012,Molecular Phylogenetics and Evolution,Jacksonia sericea,Australia,native,native,1,,,
240,Stepkowski et al,2012,Molecular Phylogenetics and Evolution,Kennedia coccinea,Australia,native,native,1,,,
240,Stepkowski et al,2012,Molecular Phylogenetics and Evolution,Swainsona formosa,Australia,native,nonnative,1,,,
250,Tan et al,2012,PLoS ONE,Carmichaelia australis,New_Zealand,native,native,1,,,
250,Tan et al,2012,PLoS ONE,Montigena novae-zelandiae,New_Zealand,native,native,1,,,
244,Taule et al,2012,Applied and Environmental Microbiology,Parapiptadenia rigida,Uruguay,native,native,1,,,
291,Xu et al,2012,Applied Soil Ecology,Ageratina adenophora,China,nonnative,nonnative,1,,,
285,Yao et al,2012,International Journal of Systematic and Evolutionary Microbiology,Kummerowia striata,China,native,nonnative,1,,1,
27,Arense et al,2013,Applied Microbiology and Biotechnology,Crotalaria incana,Ethiopia,native,nonnative,1,,,
27,Arense et al,2013,Applied Microbiology and Biotechnology,Crotalaria spinosa,Ethiopia,native,native,1,,,
27,Arense et al,2013,Applied Microbiology and Biotechnology,Erythrina brucei,Ethiopia,native,native,1,,,
27,Arense et al,2013,Applied Microbiology and Biotechnology,Indigofera arrecta,Ethiopia,native,nonnative,1,,,
25,Armas-Capote et al,2013,Systematic and Applied Microbiology,Cicer canariense,Canary_Islands,native,native,1,,,
37,Batista et al,2013,Applied Soil Ecology,Lotus pedunculatus,Uruguay,native,nonnative,1,,,
40,Beukes et al,2013,PLoS ONE,Cyclopia intermedia,South_Africa,native,native,1,,,
40,Beukes et al,2013,PLoS ONE,Hypocalyptus coluteoides,South_Africa,native,native,1,,,
40,Beukes et al,2013,PLoS ONE,Hypocalyptus oxalidifolius,South_Africa,native,native,1,,,
40,Beukes et al,2013,PLoS ONE,Hypocalyptus sophoroides,South_Africa,native,native,1,,,
40,Beukes et al,2013,PLoS ONE,Podalyria calyptrata,South_Africa,native,native,1,,,
40,Beukes et al,2013,PLoS ONE,Virgilia oroboides,South_Africa,native,nonnative,1,,,
42,Bianco et al,2013,Current Microbiology,Adesmia bicolor,Argentina,native,native,1,,,
47,Bournaud et al,2013,PLoS ONE,Anadenanthera colubrina,Brazil,native,native,1,,,
47,Bournaud et al,2013,PLoS ONE,Anadenanthera peregrina,Brazil,native,native,1,,,
47,Bournaud et al,2013,PLoS ONE,Microlobius foetidus,Brazil,native,native,1,,,
47,Bournaud et al,2013,PLoS ONE,Parapiptadenia pterosperma,Brazil,native,native,1,,,
47,Bournaud et al,2013,PLoS ONE,Parapiptadenia rigida,Brazil,native,native,1,,,
47,Bournaud et al,2013,PLoS ONE,Piptadenia adiantoides,Brazil,native,native,1,,,
47,Bournaud et al,2013,PLoS ONE,Piptadenia gonoacantha,Brazil,native,native,1,,,
47,Bournaud et al,2013,PLoS ONE,Piptadenia paniculata,Brazil,native,native,1,,,
47,Bournaud et al,2013,PLoS ONE,Piptadenia trisperma,Brazil,native,native,1,,,
47,Bournaud et al,2013,PLoS ONE,Piptadenia viridiflora,Brazil,native,native,1,,,
47,Bournaud et al,2013,PLoS ONE,Pseudopiptadenia contorta,Brazil,native,native,1,,,
67,Chen et al,2013,Journal of Basic Microbiology,Astragalus adsurgens,China,native,native,1,,,
67,Chen et al,2013,Journal of Basic Microbiology,Astragalus complanatus,China,native,native,1,,,
67,Chen et al,2013,Journal of Basic Microbiology,Astragalus discolor,China,native,native,1,,,
67,Chen et al,2013,Journal of Basic Microbiology,Astragalus efoliolatus,China,native,native,1,,,
67,Chen et al,2013,Journal of Basic Microbiology,Astragalus kifonsanicus,China,native,native,1,,,
67,Chen et al,2013,Journal of Basic Microbiology,Astragalus lepsensis,China,native,native,1,,,
67,Chen et al,2013,Journal of Basic Microbiology,Astragalus propinquus,China,native,native,1,,,
67,Chen et al,2013,Journal of Basic Microbiology,Astragalus scaberrimus,China,native,native,1,,,
67,Chen et al,2013,Journal of Basic Microbiology,Astragalus tibetanus,China,native,nonnative,1,,,
71,Cobo-Diaz et al,2013,Systematic and Applied Microbiology,Genista versicolor,Spain,native,native,1,,,
24,Crisostomo et al,2013,Applied Soil Ecology,Acacia longifolia,Australia,native,nonnative,1,,1,1
24,Crisostomo et al,2013,Applied Soil Ecology,Acacia saligna,Portugal,nonnative,nonnative,1,,1,
24,Crisostomo et al,2013,Applied Soil Ecology,Acacia saligna,Australia,nonnative,nonnative,1,,1,1
81,De Meyer et al,2013,International Journal of Systematic and Evolutionary Microbiology,Lebeckia ambigua,South_Africa,native,native,1,,,
82,De Meyer et al,2013,International Journal of Systematic and Evolutionary Microbiology,Rhynchosia ferulifolia,South_Africa,native,native,1,,,
92,Duran et al,2013,Systematic and Applied Microbiology,Lupinus mariae-josephae,Spain,native,native,1,,,
51,Gehlot et al,2013,Annals of Botany,Mimosa hamata,India,native,nonnative,1,,,
51,Gehlot et al,2013,Annals of Botany,Mimosa himalayana,India,native,native,1,,,
51,Gehlot et al,2013,Annals of Botany,Mimosa pudica,India,nonnative,nonnative,1,,1,
111,Guerrouj et al,2013,Canadian Journal of Microbiology,Medicago arborea,Morocco,nonnative,nonnative,1,,,
120,Howieson et al,2013,Soil Biology and Biochemistry,Lebeckia ambigua,South_Africa,native,native,1,,,
131,Kaplan et al,2013,American Journal of Botany,Zygophyllum dumosum,Israel,NA,NA,1,,,
147,Latif et al,2013,Archives of Microbiology,Trifolium pratense,Pakistan,native,nonnative,1,,,
147,Latif et al,2013,Archives of Microbiology,Trifolium repens,Pakistan,native,nonnative,1,,,
177,Melkonian et al,2013,Environmental Microbiology,Mimosa pudica,Guinea,nonnative,nonnative,1,,1,
177,Melkonian et al,2013,Environmental Microbiology,Mimosa pudica,Australia,nonnative,nonnative,1,,1,
184,Moukoumi et al,2013,Canadian Journal of Microbiology,Caragana arborescens,Canada,nonnative,nonnative,1,,1,
186,Ndlovu et al,2013,Journal of Biogeography,Acacia pycnantha,South_Africa,nonnative,nonnative,,1,,
186,Ndlovu et al,2013,Journal of Biogeography,Acacia pycnantha,Australia,native,nonnative,,1,,
206,Ramirez-Bahena et al,2013,Systematic and Applied Microbiology,Centrosema macrocarpum,Venezuela,native,native,1,,,
214,Ricon-Rosales et al,2013,International Journal of Systematic and Evolutionary Microbiology,Calliandra houstoniana,Mexico,native,nonnative,1,,,
284,Yang et al,2013,Systematic and Applied Microbiology,Securigera varia,China,nonnative,nonnative,1,,,
7,Ahnia et al,2014,Antonie van Leeuwenhoek,Cytisus villosus,Algeria,native,nonnative,1,,,
32,Bakhoum et al,2014,Open Journal of Forestry,Acacia senegal,Senegal,native,nonnative,1,,,
34,Barauna et al,2014,Brasilia,Centrolobium paraense,Brazil,native,nonnative,1,,,
45,Boudiaf et al,2014,Soil Biology and Biochemistry,Acacia mearnsii,Algeria,nonnative,nonnative,1,,,
69,Chen et al,2014,Systematic and Applied Microbiology,Arachis duranensis,China,nonnative,nonnative,1,,,
73,da Silva et al,2014,International Journal of Systematic and Evolutionary Microbiology,Inga laurina,Brazil,native,nonnative,1,,,
75,de Freitas et al,2014,African Journal of Microbiology Research,Mimosa paraibana,Brazil,NA,NA,1,,,
75,de Freitas et al,2014,African Journal of Microbiology Research,Mimosa tenuiflora,Brazil,NA,NA,1,,,
106,Gnat at al,2014,Antonie van Leeuwenhoek,Astragalus glycyphyllos,Poland,native,nonnative,1,,,
52,Hassen et al,2014,World Journal of Agricultural Research,Indigofera hirsuta,South_Africa,native,nonnative,1,,,
149,Le Roux et al,2014,Microbial Ecology,Pterocarpus officinalis,Dominica,native,native,1,,,
149,Le Roux et al,2014,Microbial Ecology,Pterocarpus officinalis,French_Guiana,native,native,1,,,
149,Le Roux et al,2014,Microbial Ecology,Pterocarpus officinalis,Guadeloupe,native,native,1,,,
149,Le Roux et al,2014,Microbial Ecology,Pterocarpus officinalis,Martinique,native,native,1,,,
149,Le Roux et al,2014,Microbial Ecology,Pterocarpus officinalis,Puerto_Rico,native,native,1,,,
305,Liu et al,2014,Microbial Ecology ,Dipogon lignosus,New_Zealand,nonnative,nonnative,1,,,
220,Rodriguez-Echeverria et al,2014,Systematic and Applied Microbiology,Retama sphaerocarpa,Spain,native,native,1,,,
327,Li et al,2016,Systematic and Applied Microbiology,Sesbania cannabina,China,native,nonnative,1,,,
323,Harrison et al,2017,Evolution,Medicago lupulina,Canada,nonnative,nonnative,1,,,
325,Huang,2018,Systematic and Applied Microbiology,Crotalaria trichotoma,Taiwan,nonnative,nonnative,1,,,
328,Liu et al,2019,Genome Biology and Evolution,Robinia pseudoacacia,China,nonnative,nonnative,,1,,
328,Liu et al,2019,Genome Biology and Evolution,Robinia pseudoacacia,Germany,nonnative,nonnative,,1,,
328,Liu et al,2019,Genome Biology and Evolution,Robinia pseudoacacia,United_States,native,nonnative,,1,,
329,Lui et al,2020,Frontiers in Microbiology,Mimosa diplotricha,China,nonnative,nonnative,1,,,
329,Lui et al,2020,Frontiers in Microbiology,Mimosa pudica,China,nonnative,nonnative,1,,,
330,Wendlandt et al,2021,Evolution,Medicago polymorpha,North_America,nonnative,nonnative,,1,,
330,Wendlandt et al,2021,Evolution,Medicago polymorpha,Europe,native,nonnative,,1,,
322,Chouhan et al,2022,FEMS Microbial Ecology,Leucaena leucocephala,India,nonnative,nonnative,1,,,
324,Hsouna et al,2022,Systematic and Applied Microbiology,Acacia saligna,Tunisia,nonnative,nonnative,1,,,
