"","paper_id","new_name","paper_plant_status","annual_perennial","growth_form","sample_country","sample_continent","num_nodules","genetic_region","strain_richness","compares_natinv","Graph_x","strain_richness_TF"
"121",113,"Robinia pseudoacacia","nonnative","perennial","woody","China","AS",7,"ARDRA",4,1,"Non Native (n=57)",1.38629436111989
"122",113,"Robinia pseudoacacia","nonnative","perennial","woody","China","AS",5,"nodC",2,1,"Non Native (n=57)",0.693147180559945
"123",113,"Robinia pseudoacacia","nonnative","perennial","woody","China","AS",7,"atpd-glnII-recA-IGS",4,1,"Non Native (n=57)",1.38629436111989
"124",113,"Robinia pseudoacacia","nonnative","perennial","woody","China","AS",7,"RFLP-IGS",4,1,"Non Native (n=57)",1.38629436111989
"125",113,"Vicia sativa","native","perennial","herb","China","AS",5,"atpd-glnII-recA-IGS",3,1,"Native (n=136)",1.09861228866811
"126",113,"Vicia sativa","native","perennial","herb","China","AS",5,"nodC",2,1,"Native (n=136)",0.693147180559945
"127",113,"Vicia sativa","native","perennial","herb","China","AS",5,"ARDRA",1,1,"Native (n=136)",0
"128",113,"Vicia sativa","native","perennial","herb","China","AS",5,"16S",2,1,"Native (n=136)",0.693147180559945
"129",113,"Vicia sativa","native","perennial","herb","China","AS",5,"RFLP-IGS",3,1,"Native (n=136)",1.09861228866811
"130",113,"Vicia cracca","native","perennial","herb","China","AS",12,"RFLP-IGS",3,1,"Native (n=136)",1.09861228866811
"131",113,"Vicia cracca","native","perennial","herb","China","AS",12,"nodC",5,1,"Native (n=136)",1.6094379124341
"132",113,"Vicia cracca","native","perennial","herb","China","AS",12,"atpd-glnII-recA-IGS",4,1,"Native (n=136)",1.38629436111989
"133",113,"Vicia cracca","native","perennial","herb","China","AS",12,"ARDRA",1,1,"Native (n=136)",0
"134",115,"Lotus frondosus","native","perennial","herb","China","AS",11,"IGS-RFLP",4,1,"Native (n=136)",1.38629436111989
"135",115,"Lotus frondosus","native","perennial","herb","China","AS",11,"SDS-PAGE",9,1,"Native (n=136)",2.19722457733622
"136",115,"Lotus frondosus","native","perennial","herb","China","AS",11,"BOX-PCR",8,1,"Native (n=136)",2.07944154167984
"137",115,"Robinia pseudoacacia","nonnative","perennial","woody","China","AS",5,"BOX-PCR",3,1,"Non Native (n=57)",1.09861228866811
"138",115,"Robinia pseudoacacia","nonnative","perennial","woody","China","AS",5,"SDS-PAGE",2,1,"Non Native (n=57)",0.693147180559945
"139",115,"Robinia pseudoacacia","nonnative","perennial","woody","China","AS",5,"IGS-RFLP",2,1,"Non Native (n=57)",0.693147180559945
"140",119,"Astragalus tatsienensis","native","","","China","AS",7,"ARDRA",3,1,"Native (n=136)",1.09861228866811
"141",119,"Caragana sinica","native","perennial","woody","China","AS",5,"16S",5,1,"Native (n=136)",1.6094379124341
"142",119,"Caragana sinica","native","perennial","woody","China","AS",11,"ARDRA",7,1,"Native (n=136)",1.94591014905531
"143",119,"Caragana sinica","native","perennial","woody","China","AS",10,"IGS-RFLP",5,1,"Native (n=136)",1.6094379124341
"144",119,"Tibetia himalaica","native","perennial","herb","China","AS",9,"ARDRA",2,1,"Native (n=136)",0.693147180559945
"145",119,"Medicago archiducis-nicolai","native","","","China","AS",12,"ARDRA",4,1,"Native (n=136)",1.38629436111989
"146",119,"Medicago falcata","native","perennial","herb","China","AS",23,"ARDRA",1,1,"Native (n=136)",0
"148",119,"Melilotus officinalis","nonnative","perennial","herb","China","AS",10,"ARDRA",3,1,"Non Native (n=57)",1.09861228866811
"149",119,"Oxytropis cachemiriana","native","perennial","herb","China","AS",6,"ITS",6,1,"Native (n=136)",1.79175946922805
"150",119,"Oxytropis cachemiriana","native","perennial","herb","China","AS",20,"ARDRA",7,1,"Native (n=136)",1.94591014905531
"151",119,"Oxytropis cachemiriana","native","perennial","herb","China","AS",7,"IGS-RFLP",5,1,"Native (n=136)",1.6094379124341
"152",119,"Oxytropis cachemiriana","native","perennial","herb","China","AS",5,"16S",5,1,"Native (n=136)",1.6094379124341
"153",119,"Oxytropis glabra","native","perennial","herb","China","AS",6,"ARDRA",2,1,"Native (n=136)",0.693147180559945
"155",119,"Vicia tibetica","native","annual","herb","China","AS",6,"ARDRA",2,1,"Native (n=136)",0.693147180559945
"160",138,"Cytisus scoparius","nonnative","perennial","woody","Australia","AU",251,"SSU rDNA PCR-RFLP",21,1,"Non Native (n=57)",3.04452243772342
"163",158,"Amorpha fruticosa","nonnative","perennial","woody","China","AS",28,"16S_23S_RFLP",13,1,"Non Native (n=57)",2.56494935746154
"164",158,"Amorpha fruticosa","nonnative","perennial","woody","China","AS",28,"BOX-PCR",21,1,"Non Native (n=57)",3.04452243772342
"165",158,"Amorpha fruticosa","nonnative","perennial","woody","China","AS",28,"16S",7,1,"Non Native (n=57)",1.94591014905531
"166",158,"Cercis racemosa","native","","","China","AS",10,"16S",7,1,"Native (n=136)",1.94591014905531
"167",158,"Cercis racemosa","native","","","China","AS",10,"16S_23S_RFLP",9,1,"Native (n=136)",2.19722457733622
"168",158,"Cercis racemosa","native","","","China","AS",10,"BOX-PCR",10,1,"Native (n=136)",2.30258509299405
"169",158,"Wisteria sinensis","native","perennial","woody","China","AS",21,"16S_23S_RFLP",7,1,"Native (n=136)",1.94591014905531
"170",158,"Wisteria sinensis","native","perennial","woody","China","AS",21,"BOX-PCR",17,1,"Native (n=136)",2.83321334405622
"171",158,"Wisteria sinensis","native","perennial","woody","China","AS",21,"16S",6,1,"Native (n=136)",1.79175946922805
"187",217,"Acacia longifolia","nonnative","perennial","woody","Portugal","EU",16,"nifD",10,1,"Non Native (n=57)",2.30258509299405
"188",217,"Acacia longifolia","nonnative","perennial","woody","Portugal","EU",16,"ITS",14,1,"Non Native (n=57)",2.63905732961526
"189",217,"Acacia longifolia","nonnative","perennial","woody","Portugal","EU",16,"nodA",13,1,"Non Native (n=57)",2.56494935746154
"190",217,"Acacia longifolia","nonnative","perennial","woody","Portugal","EU",38,"Box_A1R-PCR",13,1,"Non Native (n=57)",2.56494935746154
"191",217,"Cytisus grandiflorus","native","perennial","woody","Portugal","EU",6,"nodA",2,1,"Native (n=136)",0.693147180559945
"192",217,"Cytisus grandiflorus","native","perennial","woody","Portugal","EU",10,"Box_A1R-PCR",3,1,"Native (n=136)",1.09861228866811
"193",217,"Cytisus grandiflorus","native","perennial","woody","Portugal","EU",6,"ITS",5,1,"Native (n=136)",1.6094379124341
"194",217,"Cytisus grandiflorus","native","perennial","woody","Portugal","EU",6,"nifD",5,1,"Native (n=136)",1.6094379124341
"195",217,"Cytisus scoparius","native","perennial","woody","Portugal","EU",6,"ITS",6,1,"Native (n=136)",1.79175946922805
"196",217,"Cytisus scoparius","native","perennial","woody","Portugal","EU",6,"nifD",4,1,"Native (n=136)",1.38629436111989
"197",217,"Cytisus scoparius","native","perennial","woody","Portugal","EU",6,"nodA",3,1,"Native (n=136)",1.09861228866811
"198",217,"Ulex europaeus","native","perennial","woody","Portugal","EU",12,"nodA",5,1,"Native (n=136)",1.6094379124341
"199",217,"Ulex europaeus","native","perennial","woody","Portugal","EU",12,"nifD",8,1,"Native (n=136)",2.07944154167984
"200",217,"Ulex europaeus","native","perennial","woody","Portugal","EU",35,"Box_A1R-PCR",9,1,"Native (n=136)",2.19722457733622
"201",217,"Ulex europaeus","native","perennial","woody","Portugal","EU",12,"ITS",10,1,"Native (n=136)",2.30258509299405
"202",256,"Acacia senegal","native","perennial","woody","Sudan","AF",11,"MLEE",7,1,"Native (n=136)",1.94591014905531
"203",256,"Acacia senegal","native","perennial","woody","Sudan","AF",21,"SDS-PAGE",21,1,"Native (n=136)",3.04452243772342
"204",256,"Prosopis chilensis","nonnative","perennial","woody","Sudan","AF",8,"MLEE",4,1,"Non Native (n=57)",1.38629436111989
"205",256,"Prosopis chilensis","nonnative","perennial","woody","Sudan","AF",12,"SDS-PAGE",12,1,"Non Native (n=57)",2.484906649788
"206",289,"Cytisus scoparius","nonnative","perennial","woody","New_Zealand","AU",5,"16S",2,1,"Non Native (n=57)",0.693147180559945
"207",289,"Cytisus scoparius","nonnative","perennial","woody","New_Zealand","AU",5,"recA",1,1,"Non Native (n=57)",0
"208",289,"Cytisus scoparius","nonnative","perennial","woody","New_Zealand","AU",5,"glnII",1,1,"Non Native (n=57)",0
"209",289,"Cytisus scoparius","nonnative","perennial","woody","New_Zealand","AU",5,"atpD",2,1,"Non Native (n=57)",0.693147180559945
"210",289,"Ulex europaeus","nonnative","perennial","woody","New_Zealand","AU",6,"glnII",1,1,"Non Native (n=57)",0
"211",289,"Ulex europaeus","nonnative","perennial","woody","New_Zealand","AU",6,"atpD",1,1,"Non Native (n=57)",0
"212",289,"Ulex europaeus","nonnative","perennial","woody","New_Zealand","AU",6,"16S",5,1,"Non Native (n=57)",1.6094379124341
"213",289,"Ulex europaeus","nonnative","perennial","woody","New_Zealand","AU",6,"recA",1,1,"Non Native (n=57)",0
"214",325,"Crotalaria trichotoma","nonnative","perennial","herb","Taiwan","AS",59,"nodA",19,1,"Non Native (n=57)",2.94443897916644
"215",326,"Acacia longifolia","nonnative","perennial","woody","South_Africa","AF",999,"16S",3,1,"Non Native (n=57)",1.09861228866811
"216",326,"Acacia mearnsii","nonnative","perennial","woody","South_Africa","AF",999,"16S",4,1,"Non Native (n=57)",1.38629436111989
"217",326,"Acacia saligna","nonnative","perennial","woody","South_Africa","AF",999,"16S",5,1,"Non Native (n=57)",1.6094379124341
"218",326,"Aspalathus abietina","native","perennial","woody","South_Africa","AF",999,"16S",14,1,"Native (n=136)",2.63905732961526
"219",326,"Aspalathus cephalotes","native","perennial","woody","South_Africa","AF",999,"16S",5,1,"Native (n=136)",1.6094379124341
"220",326,"Aspalathus ciliaris","native","perennial","woody","South_Africa","AF",999,"16S",14,1,"Native (n=136)",2.63905732961526
"221",326,"Aspalathus hispida","native","perennial","woody","South_Africa","AF",999,"16S",3,1,"Native (n=136)",1.09861228866811
